listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
27466356,"Stylish private studio, 20 min downtown Amsterdam",34581928,Georno,Amsterdam,North Holland,The Netherlands,Noord-West,Private room in townhouse,Private room,95
27473884,"Cosy one bedroom, private bathroom on Vondelpark.",111947859,Bob,Amsterdam,North Holland,The Netherlands,Zuid,Private room in guest suite,Private room,95
27475373,Amsterdam Appartement,196217333,Shane,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,
27476670,"Bright, light, botanic style appartment.",15040548,T.J.,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire condominium,Entire home/apt,97
27477836,Private bedroom with free Netflix and prime video!,207080206,Merlyn,Amsterdam,North Holland,The Netherlands,Slotervaart,Private room in apartment,Private room,94
27478968,1910's Completely renovated house boat @ Amstel!,207086988,Monicque,The Netherlands,,,Oud-Oost,Boat,Entire home/apt,100
27481490,Beautiful appartement next to vondelpark,18570607,Eddie,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,96
27482148,Amsterdam Woning,88830713,Kari,Amsterdam,North Holland,The Netherlands,Noord-West,Entire house,Entire home/apt,100
27482691,Ruimtelijk app. op rustige en centrale toplocatie,207117971,Sanna,The Netherlands,,,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,
27485854,Appartement overtoomsveld,50134274,Liana,Koedijk,North Holland,The Netherlands,Slotervaart,Entire apartment,Entire home/apt,
27486295,Cosy bedroom in authentic Amsterdam apartment.,844125,Mark,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,80
27489144,adventurous boat in centre of Amsterdam,9496677,Anne,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Boat,Entire home/apt,88
27490952,"Cozy apartment, 15 minutes to city center by metro",207190390,David,IL,,,Bijlmer-Oost,Entire apartment,Entire home/apt,90
27498255,Luxury apartment in city center,36565286,Kim,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire loft,Entire home/apt,100
27498578,Amstel escape,7112490,Margreet,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,96
27498593,"Light, industrial apartment in trendy East-A'dam",17643881,Lisa,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,100
27498797,Bright clean apartment with Amazing waterviews,204510358,Joost,New York,New York,United States,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,95
27499761,New apartment at best location of Amsterdam,8211862,Coen,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,100
27500130,Amsterdam Studio Deluxe in West side,194732554,Saeed,Amsterdam,North Holland,The Netherlands,De Aker - Nieuw Sloten,Entire apartment,Entire home/apt,80
27500194,2 bedroom apartment Amsterdam west,14901491,Sijbren,The Hague,South Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,
27500507,Luxurious home at harbour of Amsterdam,52594009,Talha,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,
27506311,Charming historic house in the city center,4580409,Samantha,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire townhouse,Entire home/apt,99
27514386,2-kamer appartement in het hart van Amsterdam,40324153,Linde,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,100
27515540,Large furnished apartment in Amsterdam South,789334,Jefferson,US,,,Buitenveldert - Zuidas,Entire apartment,Entire home/apt,
27516765,Furnished apartment (74M2) with backyard in Adam,24314617,Jorim,Amsterdam,North Holland,The Netherlands,Bijlmer-Centrum,Entire apartment,Entire home/apt,
27519911,Beautiful apartment with garden @ Amsterdam South,179369941,Elisabeth,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,100
27520015,Brand new studio apartment with vintage look,73081474,Tessa,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,98
27520055,Family/city- Apartment 10 min from central station,64868869,Julian,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,100
27520959,Bright and spacious apartment in Amsterdam,207551563,Jan-Jelle,The Netherlands,,,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,
27523926,Complete apartment-taking care of our cat required,16831042,Bastiaan,Nijmegen,Gelderland,The Netherlands,De Baarsjes - Oud-West,Entire condominium,Entire home/apt,100
27525864,New & spacious ground-floor 3-BR home w/ garden!,207546297,Laurens,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire house,Entire home/apt,100
27525917,Cosy Modern Apartment | Patio |,65859990,Martijn,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,80
27527221,Unforgetable Charming Apartment | Patio |,65859990,Martijn,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,86
27532577,Modern appartment at walking distance from centre,10503334,Caspar,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,99
27533135,Private apt close to Vondelpark! Ideal for couples,6683167,Nick,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,100
27534459,N0.One,47873588,Lukas,The Hague,South Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,78
27535114,Private room in modern city apt!,207704401,Ivan,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,98
27539424,Apartment located at the city centre of Amsterdam,158045285,Sif,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,
27544310,Beautiful and spacious Apartment in Amsterdam,183670964,Gil,Amstelveen,North Holland,The Netherlands,Buitenveldert - Zuidas,Entire apartment,Entire home/apt,100
27545924,Cosy apartment de Pijp/Rivierenbuurt,4876786,Lisa,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,
27546543,Lovely rooftop terrace apartment near Vondelpark,38154410,Tim En Leonie,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,99
27546826,"Welcome to my cosy, spacious, plant-filled home",2068431,Iris,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire condominium,Entire home/apt,100
27563313,Cosy room in East Amsterdam,20818241,Thalia,Amsterdam,North Holland,The Netherlands,Oud-Oost,Private room in apartment,Private room,99
27565202,Beautiful & clean apartment near the Museumsquare,79666655,Marjolijn,Amsterdam,North Holland,The Netherlands,Zuid,Room in bed and breakfast,Hotel room,98
27565537,Privékamer met ontbijt en gebruik van fietsen,207977510,Margreet,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in bed and breakfast,Private room,99
